dataset,path,arm,seed,orders,cap,calls,accepted,candidate_status,candidate_bound,deployed_bound,generation_seconds,cumulative_check_seconds
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,"[8, 16]",50,50,True,CERTIFIED,0.023606558353719945,0.023606558353719945,0.14750365400001897,4.157770100999983
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,"[8, 16]",100,100,True,CERTIFIED,0.020258873170170725,0.020258873170170725,0.2945208820000289,6.2195203269999695
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,"[8, 16]",200,200,True,CERTIFIED,0.018923180533841014,0.018923180533841014,0.5860137740000084,8.318146897999952
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/white_adam/record.json,white_adam,24101,"[8, 16]",400,400,True,CERTIFIED,0.018742028541234527,0.018742028541234527,1.1721200990000114,10.411563876999963
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,"[12, 24]",25,25,True,CERTIFIED,0.006559431891488111,0.006559431891488111,0.11728453599994282,2.052596412000014
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,"[12, 24]",50,50,True,CERTIFIED,0.0031282383215811564,0.0031282383215811564,0.2312300929999651,4.105670337999982
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,"[12, 24]",100,100,True,CERTIFIED,0.002407913517075811,0.002407913517075811,0.4616801259999761,6.18085257599995
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,"[12, 24]",200,200,True,CERTIFIED,0.0021279154426903095,0.0021279154426903095,0.9220360809999306,8.24138520899993
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/diagonal_adam/record.json,diagonal_adam,24102,"[12, 24]",400,400,True,CERTIFIED,0.0020024808414242927,0.0020024808414242927,1.8504477479999082,10.309920027999908
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,"[12, 24]",25,25,True,CERTIFIED,0.009526625256760958,0.009526625256760958,0.1193789289999927,2.057814801999996
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,"[12, 24]",50,50,True,CERTIFIED,0.004024527910775789,0.004024527910775789,0.2369458989999771,4.121573424999951
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,"[12, 24]",100,100,True,CERTIFIED,0.0026844742341820553,0.0026844742341820553,0.4659719750000022,6.1867932749999
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,"[12, 24]",200,200,True,CERTIFIED,0.002228159610519365,0.002228159610519365,0.9345782059999692,8.249069006999889
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_adam/record.json,direct_adam,24102,"[12, 24]",400,400,True,CERTIFIED,0.002039188029396622,0.002039188029396622,1.8613535949999687,10.320712384999865
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,"[12, 24]",25,25,True,CERTIFIED,0.0019305328268783841,0.0019305328268783841,0.11556167999998479,2.0769720819999975
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,"[12, 24]",50,50,True,CERTIFIED,0.0019236668151600968,0.0019236668151600968,0.22947201900001346,4.15622214199999
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,"[12, 24]",100,100,False,CERTIFIED,0.0019232872240035894,0.0019236668151600968,0.45562642099997674,6.226360711999973
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,"[12, 24]",200,110,False,CERTIFIED,0.0019232870954930539,0.0019236668151600968,0.5013837920000128,8.299905946000024
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24102,"[12, 24]",400,110,False,CERTIFIED,0.0019232870954930539,0.0019236668151600968,0.5013837920000128,10.371480662000067
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,"[12, 24]",25,25,True,CERTIFIED,0.002027235485355439,0.002027235485355439,0.1308869149999623,2.08111581899999
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,"[12, 24]",50,50,True,CERTIFIED,0.00194564679716569,0.00194564679716569,0.2544298870000148,4.154178746000014
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,"[12, 24]",100,100,True,CERTIFIED,0.0019338429858619668,0.0019338429858619668,0.5039801119999652,6.226630166999996
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,"[12, 24]",200,200,True,CERTIFIED,0.0019282275630194692,0.0019282275630194692,1.000752633999923,8.294765461999987
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_adam/record.json,neural_adam,24102,"[12, 24]",400,400,True,CERTIFIED,0.0019257047520924166,0.0019257047520924166,1.9908603859998948,10.373935028999995
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24102,"[12, 24]",25,25,True,CERTIFIED,0.0019419867259831138,0.0019419867259831138,0.12232086500000605,2.0751648380000347
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24102,"[12, 24]",50,50,True,CERTIFIED,0.0019323743582631006,0.0019323743582631006,0.24367976100000988,4.145094432000008
heldout,revisions/2026-09-23-r24/results/heldout/seed24102/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24102,"[12, 24]",100,100,True,CERTIFIED,0.0019261504738552484,0.0019261504738552484,0.4878497119999565,6.219655884000019
