case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
ties0,budget8.0,487,3.2377947589999962,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,489,3.244848850999972,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,491,3.2581140679999976,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,493,3.271411162999982,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,495,3.2846644819999824,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,497,3.2979161189999786,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,499,3.311245783000004,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,501,3.324569918999998,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,503,3.3378542949999996,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,505,3.351096917999996,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,507,3.3643546739999692,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,509,3.377602354999965,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,budget8.0,511,3.3909912379999696,1.069417241403568,1.0748499933747566,0.005432751971188552
ties0,price2.0,1,0.08545172300000559,1.0556771672023713,1.0748499933747566,0.019172826172385533
ties0,price2.0,3,0.15230209800000694,1.0556771672023713,1.0748499933747566,0.019172826172385533
ties0,price2.0,5,0.21686574699998573,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,7,0.28258418100000426,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,9,0.34638967000000775,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,11,0.4110166429999822,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,13,0.47655343399998173,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,15,0.5431290269999636,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price2.0,17,0.6091211620000081,1.0556771672029108,1.0748499933747566,0.01917282617184585
ties0,price2.0,19,0.676832711999964,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price2.0,21,0.7438618259999998,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price2.0,23,0.8105517999999847,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price2.0,25,0.8769405619999588,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price2.0,27,0.9130699039999968,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price2.0,29,0.9820590439999819,1.0558221951870685,1.0748499933747566,0.019027798187688273
ties0,price2.0,31,1.049338243999955,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price2.0,33,1.1173592689999623,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price2.0,35,1.1837320459999887,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price2.0,37,1.2528243609999663,1.0573236485139945,1.0748499933747566,0.017526344860762093
ties0,price2.0,39,1.3197392739999714,1.0573236485139945,1.0748499933747566,0.017526344860762093
ties0,price2.0,41,1.3861397329999932,1.0573236485151354,1.0748499933747566,0.017526344859621377
ties0,price2.0,43,1.453549258999999,1.0573236485151354,1.0748499933747566,0.017526344859621377
ties0,price2.0,45,1.5445045939999886,1.0573236485152442,1.0748499933747566,0.01752634485951243
ties0,price2.0,47,1.6124846769999976,1.0573236485152442,1.0748499933747566,0.01752634485951243
ties0,price2.0,49,1.680501085000003,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price2.0,51,1.7505658519999656,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price2.0,53,1.818816991999995,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price2.0,55,1.853791808999972,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price2.0,57,1.9240528209999752,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price2.0,59,1.9918170899999836,1.0573763483922334,1.0748499933747566,0.01747364498252332
ties0,price2.0,61,2.0594390249999606,1.0573763483922334,1.0748499933747566,0.01747364498252332
ties0,price8.0,1,0.08612067600000728,1.0556771672023713,1.0748499933747566,0.019172826172385533
ties0,price8.0,3,0.1534632500000157,1.0556771672023713,1.0748499933747566,0.019172826172385533
ties0,price8.0,5,0.21879942800001118,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,7,0.28448330800000576,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,9,0.34839809999999716,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,11,0.41388357200003156,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,13,0.47945052600005056,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,15,0.5463385470000048,1.0556771672026326,1.0748499933747566,0.019172826172124124
ties0,price8.0,17,0.6125778820000392,1.0556771672029108,1.0748499933747566,0.01917282617184585
ties0,price8.0,19,0.6805853950000369,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price8.0,21,0.7482302530000311,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price8.0,23,0.8160950710000066,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price8.0,25,0.882887267000001,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price8.0,27,0.9194031590000122,1.0556771672029672,1.0748499933747566,0.019172826171789413
ties0,price8.0,29,0.9888141810000093,1.0558221951870685,1.0748499933747566,0.019027798187688273
ties0,price8.0,31,1.0560616820000064,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price8.0,33,1.122314708000033,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price8.0,35,1.1887476040000138,1.055822195187514,1.0748499933747566,0.0190277981872427
ties0,price8.0,37,1.2577808280000227,1.0573236485139945,1.0748499933747566,0.017526344860762093
ties0,price8.0,39,1.3248466960000087,1.0573236485139945,1.0748499933747566,0.017526344860762093
ties0,price8.0,41,1.3910497159999977,1.0573236485151354,1.0748499933747566,0.017526344859621377
ties0,price8.0,43,1.458055193000007,1.0573236485151354,1.0748499933747566,0.017526344859621377
ties0,price8.0,45,1.5468512799999985,1.0573236485152442,1.0748499933747566,0.01752634485951243
ties0,price8.0,47,1.6136609730000373,1.0573236485152442,1.0748499933747566,0.01752634485951243
ties0,price8.0,49,1.6808326999999963,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price8.0,51,1.7500651930000117,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price8.0,53,1.8175053030000186,1.0573688033369142,1.0748499933747566,0.017481190037842487
ties0,price8.0,55,1.8520545100000163,1.0573688033369142,1.0748499933747566,0.017481190037842487
